date,state,county,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,latitude,longitude,Population_Density
2023-10-15,North Carolina,Mecklenburg,14.4,63.458333,2.25,3.708333,2.983333,0.029167,0.197522,35.2401,-80.785683,173.36373022963411
2023-10-18,North Carolina,Mecklenburg,14.9,65.291667,4.708333,8.25,7.570588,0.126087,0.256917,35.2401,-80.785683,173.36373022963411
2023-10-21,North Carolina,Mecklenburg,15.3,55.875,3.291667,7.875,4.804167,0.070833,0.189913,35.2401,-80.785683,173.36373022963411
2023-10-24,North Carolina,Mecklenburg,13.3,65.583333,11.5,17.291667,11.668182,0.443478,0.488125,35.2401,-80.785683,173.36373022963411
2023-10-27,North Carolina,Mecklenburg,19.3,75.708333,7.0,20.375,7.729167,0.254167,0.285696,35.2401,-80.785683,173.36373022963411
2023-10-30,North Carolina,Mecklenburg,21.8,64.333333,7.125,15.916667,4.054545,0.117391,0.183333,35.2401,-80.785683,173.36373022963411
2023-11-02,North Carolina,Mecklenburg,5.3,54.166667,8.958333,14.583333,13.05,0.3875,0.308217,35.2401,-80.785683,173.36373022963411
2023-11-05,North Carolina,Mecklenburg,13.4,61.708333,23.166667,35.708333,18.470833,0.841667,0.761458,35.2401,-80.785683,173.36373022963411
2023-11-08,North Carolina,Mecklenburg,18.2,66.083333,20.681818,31.454545,13.145833,0.4625,0.400364,35.2401,-80.785683,173.36373022963411
2023-11-11,North Carolina,Mecklenburg,10.4,75.833333,5.375,8.833333,4.168182,0.121739,0.187708,35.2401,-80.785683,173.36373022963411
2023-11-17,North Carolina,Mecklenburg,17.1,73.083333,8.666667,23.041667,12.572727,0.357143,0.357458,35.2401,-80.785683,173.36373022963411
2023-11-20,North Carolina,Mecklenburg,11.6,49.708333,9.541667,18.916667,9.5,0.358333,0.268739,35.2401,-80.785683,173.36373022963411
2023-11-23,North Carolina,Mecklenburg,8.5,76.208333,10.0,11.625,7.513636,0.221739,0.322542,35.2401,-80.785683,173.36373022963411
2023-11-26,North Carolina,Mecklenburg,5.5,64.333333,8.208333,11.041667,5.804167,0.175,0.232652,35.2401,-80.785683,173.36373022963411
2023-11-29,North Carolina,Mecklenburg,2.3,50.458333,6.333333,12.0,14.145455,0.278261,0.336292,35.2401,-80.785683,173.36373022963411
2023-12-02,North Carolina,Mecklenburg,14.9,91.791667,17.125,22.375,8.170833,0.333333,0.420696,35.2401,-80.785683,173.36373022963411
2023-12-05,North Carolina,Mecklenburg,9.1,66.541667,6.041667,11.791667,11.686364,0.230435,0.328708,35.2401,-80.785683,173.36373022963411
2023-12-08,North Carolina,Mecklenburg,9.7,56.666667,13.333333,18.291667,9.6125,0.179167,0.278087,35.2401,-80.785683,173.36373022963411
2023-12-11,North Carolina,Mecklenburg,5.4,71.0,3.583333,4.875,7.686364,0.06087,0.230542,35.2401,-80.785683,173.36373022963411
2023-12-14,North Carolina,Mecklenburg,6.4,47.5,7.708333,14.041667,13.2375,0.445833,0.393043,35.2401,-80.785683,173.36373022963411
2023-12-17,North Carolina,Mecklenburg,9.3,85.666667,4.083333,6.333333,3.327273,0.108696,0.191958,35.2401,-80.785683,173.36373022963411
2023-12-20,North Carolina,Mecklenburg,2.5,57.333333,10.083333,15.708333,20.125,0.6125,0.543522,35.2401,-80.785683,173.36373022963411
2023-12-23,North Carolina,Mecklenburg,9.3,64.833333,19.291667,25.625,15.913636,0.726087,0.718125,35.2401,-80.785683,173.36373022963411
2023-12-26,North Carolina,Mecklenburg,13.9,96.416667,1.625,4.666667,2.0,0.0,0.151652,35.2401,-80.785683,173.36373022963411
2023-12-29,North Carolina,Mecklenburg,5.0,73.458333,6.708333,11.0,8.740909,0.1,0.247875,35.2401,-80.785683,173.36373022963411
date,state,county,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,latitude,longitude,Population_Density
2024-01-01,North Carolina,Mecklenburg,6.6,59.166667,7.791667,9.625,4.4625,0.120833,0.201826,35.2401,-80.785683,173.36373022963411
